algorithm,array_type,n,time_ms,char_cmp
std_merge,almost,1200,0.1007,14455
str_quick,almost,1200,0.1395,12390
str_merge,almost,1200,1.9949,4773
msd_radix,almost,1200,0.8391,5680
msd_radixQ,almost,1200,0.4323,8585
std_quick,random,1300,0.2601,21890
std_merge,random,1300,0.3397,16886
str_quick,random,1300,0.2204,13582
str_merge,random,1300,2.6118,10700
msd_radix,random,1300,1.0793,5784
msd_radixQ,random,1300,0.5598,7054
std_quick,reversed,1300,0.0981,18232
std_merge,reversed,1300,0.1474,9184
str_quick,reversed,1300,0.1548,14768
str_merge,reversed,1300,2.2999,5171
msd_radix,reversed,1300,0.9737,6286
msd_radixQ,reversed,1300,0.5235,8727
std_quick,almost,1300,0.1844,31358
std_merge,almost,1300,0.1097,15545
str_quick,almost,1300,0.2423,13722
str_merge,almost,1300,2.2623,5370
msd_radix,almost,1300,1.0820,6184
msd_radixQ,almost,1300,0.4230,9284
std_quick,random,1400,0.2905,24760
std_merge,random,1400,0.3193,18616
str_quick,random,1400,0.3505,13285
str_merge,random,1400,2.8963,11694
msd_radix,random,1400,1.0656,6280
msd_radixQ,random,1400,0.7721,7741
std_quick,reversed,1400,0.0785,19405
std_merge,reversed,1400,0.1598,9959
str_quick,reversed,1400,0.1888,16233
str_merge,reversed,1400,2.3554,5537
msd_radix,reversed,1400,1.1301,6770
msd_radixQ,reversed,1400,0.4785,9401
std_quick,almost,1400,0.1841,33238
std_merge,almost,1400,0.1007,17158
str_quick,almost,1400,0.2106,15379
str_merge,almost,1400,2.1505,5675
msd_radix,almost,1400,0.8664,6650
msd_radixQ,almost,1400,0.5216,9940
std_quick,random,1500,0.2561,27818
std_merge,random,1500,0.2927,20052
str_quick,random,1500,0.4227,14468
str_merge,random,1500,3.4153,12691
msd_radix,random,1500,0.9940,6758
msd_radixQ,random,1500,0.8512,8491
std_quick,reversed,1500,0.1149,20620
std_merge,reversed,1500,0.1260,10784
str_quick,reversed,1500,0.1929,17962
str_merge,reversed,1500,2.9330,5950
msd_radix,reversed,1500,1.2524,7232
msd_radixQ,reversed,1500,0.7609,10042
std_quick,almost,1500,0.2097,35746
std_merge,almost,1500,0.1328,18107
str_quick,almost,1500,0.1812,16737
str_merge,almost,1500,2.8189,6132
msd_radix,almost,1500,1.3020,7120
msd_radixQ,almost,1500,0.6082,10652
std_quick,random,1600,0.2838,28679
std_merge,random,1600,0.3147,21648
str_quick,random,1600,0.4685,16124
str_merge,random,1600,3.5916,13641
msd_radix,random,1600,1.0850,7272
msd_radixQ,random,1600,0.9783,9125
std_quick,reversed,1600,0.0859,21818
std_merge,reversed,1600,0.1151,11560
str_quick,reversed,1600,0.1930,19481
str_merge,reversed,1600,3.0636,6385
msd_radix,reversed,1600,1.5807,7720
msd_radixQ,reversed,1600,0.7181,10752
std_quick,almost,1600,0.2899,37150
std_merge,almost,1600,0.1661,19727
str_quick,almost,1600,0.2634,17475
str_merge,almost,1600,3.1246,6636
msd_radix,almost,1600,1.1150,7594
msd_radixQ,almost,1600,0.7070,11292
std_quick,random,1700,0.3281,30434
std_merge,random,1700,0.3366,23354
str_quick,random,1700,0.3261,16532
str_merge,random,1700,3.9654,14544
msd_radix,random,1700,1.2982,7762
msd_radixQ,random,1700,1.0602,9936
std_quick,reversed,1700,0.0931,23022
std_merge,reversed,1700,0.1193,12522
str_quick,reversed,1700,0.2094,21331
str_merge,reversed,1700,3.1413,6710
msd_radix,reversed,1700,1.7751,8202
msd_radixQ,reversed,1700,0.7758,11440
std_quick,almost,1700,0.3772,42928
std_merge,almost,1700,0.2276,21076
str_quick,almost,1700,0.2059,19320
str_merge,almost,1700,3.3360,7171
msd_radix,almost,1700,1.3292,8090
msd_radixQ,almost,1700,0.7730,11973
std_quick,random,1800,0.3419,33624
std_merge,random,1800,0.3696,26355
str_quick,random,1800,0.4412,17820
str_merge,random,1800,3.8806,15522
msd_radix,random,1800,1.5405,8234
msd_radixQ,random,1800,0.8476,10522
std_quick,reversed,1800,0.0951,24206
std_merge,reversed,1800,0.1320,13327
str_quick,reversed,1800,0.2856,22929
str_merge,reversed,1800,3.9375,7070
msd_radix,reversed,1800,1.9959,8690
msd_radixQ,reversed,1800,0.6693,12145
std_quick,almost,1800,0.2971,35866
std_merge,almost,1800,0.1952,23865
str_quick,almost,1800,0.2411,19003
str_merge,almost,1800,3.5751,7655
msd_radix,almost,1800,1.1809,8594
msd_radixQ,almost,1800,0.8705,12675
std_quick,random,1900,0.3525,35267
std_merge,random,1900,0.4553,28122
str_quick,random,1900,0.3567,18891
str_merge,random,1900,4.5754,16552
msd_radix,random,1900,1.7185,8742
msd_radixQ,random,1900,0.8204,11294
std_quick,reversed,1900,0.1013,25390
std_merge,reversed,1900,0.1341,13992
str_quick,reversed,1900,0.2398,24622
str_merge,reversed,1900,4.3559,7383
msd_radix,reversed,1900,1.6891,9162
msd_radixQ,reversed,1900,0.8983,12799
std_quick,almost,1900,0.2620,43916
std_merge,almost,1900,0.2268,24806
str_quick,almost,1900,0.3050,19942
str_merge,almost,1900,3.7539,8060
msd_radix,almost,1900,1.2117,9096
msd_radixQ,almost,1900,0.9632,13375
std_quick,random,2000,0.4510,39032
std_merge,random,2000,0.5150,29565
str_quick,random,2000,0.4883,20385
str_merge,random,2000,4.4880,17526
msd_radix,random,2000,1.6925,9228
msd_radixQ,random,2000,0.7350,12078
std_quick,reversed,2000,0.1873,26496
std_merge,reversed,2000,0.3186,14734
str_quick,reversed,2000,0.2637,26646
str_merge,reversed,2000,3.7428,7753
msd_radix,reversed,2000,1.9422,9636
msd_radixQ,reversed,2000,0.7795,13445
std_quick,almost,2000,0.3066,40487
std_merge,almost,2000,0.1704,26204
str_quick,almost,2000,0.2447,22158
str_merge,almost,2000,4.2330,8751
msd_radix,almost,2000,1.4268,9584
msd_radixQ,almost,2000,0.8436,14090
std_quick,random,2100,0.5143,39980
std_merge,random,2100,0.4366,31174
str_quick,random,2100,0.3989,21295
str_merge,random,2100,5.0340,18549
msd_radix,random,2100,2.0483,9730
msd_radixQ,random,2100,0.7149,12894
std_quick,reversed,2100,0.1348,29617
std_merge,reversed,2100,0.3098,15511
str_quick,reversed,2100,0.2759,28465
str_merge,reversed,2100,4.0381,7979
msd_radix,reversed,2100,2.1134,10130
msd_radixQ,reversed,2100,0.9501,14162
std_quick,almost,2100,0.2946,48034
std_merge,almost,2100,0.1763,27448
str_quick,almost,2100,0.2599,24101
str_merge,almost,2100,4.4581,9165
msd_radix,almost,2100,1.2066,10044
msd_radixQ,almost,2100,0.9522,14739
std_quick,random,2200,0.4492,43612
std_merge,random,2200,0.5409,32663
str_quick,random,2200,0.4640,22588
str_merge,random,2200,4.8939,19481
msd_radix,random,2200,1.7997,10262
msd_radixQ,random,2200,0.7548,13755
std_quick,reversed,2200,0.1861,33719
std_merge,reversed,2200,0.2860,16343
str_quick,reversed,2200,0.3414,30607
str_merge,reversed,2200,4.2409,8576
msd_radix,reversed,2200,1.8697,10620
msd_radixQ,reversed,2200,1.1686,14814
std_quick,almost,2200,0.2286,43417
std_merge,almost,2200,0.1821,28147
str_quick,almost,2200,0.2762,24791
str_merge,almost,2200,4.4652,9458
msd_radix,almost,2200,1.3824,10502
msd_radixQ,almost,2200,0.9296,15476
std_quick,random,2300,0.5642,43946
std_merge,random,2300,0.6476,34504
str_quick,random,2300,0.5378,23332
str_merge,random,2300,5.0954,20563
msd_radix,random,2300,1.6743,10822
msd_radixQ,random,2300,1.1787,14414
std_quick,reversed,2300,0.1360,35132
std_merge,reversed,2300,0.1664,17089
str_quick,reversed,2300,0.3133,32458
str_merge,reversed,2300,4.8723,9023
msd_radix,reversed,2300,2.1948,11096
msd_radixQ,reversed,2300,0.7725,15504
std_quick,almost,2300,0.4740,52360
std_merge,almost,2300,0.2042,29750
str_quick,almost,2300,0.2793,25840
str_merge,almost,2300,4.5797,9843
msd_radix,almost,2300,1.3889,10976
msd_radixQ,almost,2300,0.7120,16105
std_quick,random,2400,0.5546,47310
std_merge,random,2400,0.5016,36045
str_quick,random,2400,0.4725,25552
str_merge,random,2400,5.4092,21604
msd_radix,random,2400,2.0391,11334
msd_radixQ,random,2400,0.8823,15208
std_quick,reversed,2400,0.2370,36468
std_merge,reversed,2400,0.2865,17893
str_quick,reversed,2400,0.3767,34301
str_merge,reversed,2400,4.9443,9605
msd_radix,reversed,2400,2.2861,11580
msd_radixQ,reversed,2400,0.7121,16215
std_quick,almost,2400,0.3172,55275
std_merge,almost,2400,0.2808,31103
str_quick,almost,2400,0.4084,26165
str_merge,almost,2400,4.8359,10242
msd_radix,almost,2400,1.5818,11446
msd_radixQ,almost,2400,0.8765,16803
std_quick,random,2500,0.6619,49894
std_merge,random,2500,0.5467,37663
str_quick,random,2500,0.5584,26439
str_merge,random,2500,5.1633,22663
msd_radix,random,2500,1.9927,11840
msd_radixQ,random,2500,1.0733,15999
std_quick,reversed,2500,0.1557,37906
std_merge,reversed,2500,0.1803,18693
str_quick,reversed,2500,0.3575,36790
str_merge,reversed,2500,4.7361,10001
msd_radix,reversed,2500,2.4465,12060
msd_radixQ,reversed,2500,0.8155,16850
std_quick,almost,2500,0.2520,50732
std_merge,almost,2500,0.3459,32291
str_quick,almost,2500,0.3379,27883
str_merge,almost,2500,4.5939,10708
msd_radix,almost,2500,1.7170,11914
msd_radixQ,almost,2500,0.8102,17519
std_quick,random,2600,0.5811,52052
std_merge,random,2600,0.5372,39285
str_quick,random,2600,0.5118,28571
str_merge,random,2600,6.1262,23652
msd_radix,random,2600,1.9466,12364
msd_radixQ,random,2600,0.8726,16748
std_quick,reversed,2600,0.1516,39243
std_merge,reversed,2600,0.1876,19645
str_quick,reversed,2600,0.4106,39316
str_merge,reversed,2600,5.4554,10492
msd_radix,reversed,2600,1.9717,12556
msd_radixQ,reversed,2600,0.8647,17520
std_quick,almost,2600,0.4005,55940
std_merge,almost,2600,0.2209,33570
str_quick,almost,2600,0.3286,29805
str_merge,almost,2600,5.2573,11244
msd_radix,almost,2600,1.5281,12434
msd_radixQ,almost,2600,1.1363,18336
std_quick,random,2700,0.5342,54262
std_merge,random,2700,0.7415,41593
str_quick,random,2700,0.5885,28848
str_merge,random,2700,5.8684,24641
msd_radix,random,2700,2.2617,12902
msd_radixQ,random,2700,0.9450,17487
std_quick,reversed,2700,0.1612,40523
std_merge,reversed,2700,0.3341,20543
str_quick,reversed,2700,0.3991,41679
str_merge,reversed,2700,4.9385,10801
msd_radix,reversed,2700,1.9454,13030
msd_radixQ,reversed,2700,1.1167,18171
std_quick,almost,2700,0.3130,60528
std_merge,almost,2700,0.2253,35302
str_quick,almost,2700,0.4386,28919
str_merge,almost,2700,5.1317,11638
msd_radix,almost,2700,1.9696,12918
msd_radixQ,almost,2700,1.1366,19054
std_quick,random,2800,0.5585,55005
std_merge,random,2800,0.5904,43177
str_quick,random,2800,0.7524,30049
str_merge,random,2800,6.2760,25771
msd_radix,random,2800,1.9474,13458
msd_radixQ,random,2800,1.0784,18366
std_quick,reversed,2800,0.2423,41603
std_merge,reversed,2800,0.2258,21332
str_quick,reversed,2800,0.5556,43938
str_merge,reversed,2800,5.2724,11256
msd_radix,reversed,2800,2.0247,13508
msd_radixQ,reversed,2800,1.2147,18831
std_quick,almost,2800,0.3869,64670
std_merge,almost,2800,0.2378,36601
str_quick,almost,2800,0.4936,32547
str_merge,almost,2800,4.9485,12234
msd_radix,almost,2800,1.9465,13408
msd_radixQ,almost,2800,1.0365,19760
std_quick,random,2900,0.5763,59241
std_merge,random,2900,0.7452,44773
str_quick,random,2900,0.9116,32167
str_merge,random,2900,5.9515,26789
msd_radix,random,2900,2.3792,13978
msd_radixQ,random,2900,1.1611,19390
std_quick,reversed,2900,0.2704,42890
std_merge,reversed,2900,0.2846,22053
str_quick,reversed,2900,0.4549,46848
str_merge,reversed,2900,5.2582,11504
msd_radix,reversed,2900,2.5125,13982
msd_radixQ,reversed,2900,0.8618,19511
std_quick,almost,2900,0.6659,81142
std_merge,almost,2900,0.3698,38089
str_quick,almost,2900,0.3556,32258
str_merge,almost,2900,5.2860,12707
msd_radix,almost,2900,2.0574,13900
msd_radixQ,almost,2900,1.0658,20393
std_quick,random,3000,0.8072,62113
std_merge,random,3000,0.6252,46386
str_quick,random,3000,0.6800,32980
str_merge,random,3000,5.8117,27866
msd_radix,random,3000,2.3308,14518
msd_radixQ,random,3000,1.4088,20015
std_quick,reversed,3000,0.1722,44170
std_merge,reversed,3000,0.2134,22895
str_quick,reversed,3000,0.6131,48900
str_merge,reversed,3000,6.2090,11991
msd_radix,reversed,3000,2.0623,14450
msd_radixQ,reversed,3000,1.2303,20171
std_quick,almost,3000,0.2473,56700
std_merge,almost,3000,0.2438,38876
str_quick,almost,3000,0.5636,33687
str_merge,almost,3000,4.9018,13306
msd_radix,almost,3000,1.8419,14412
msd_radixQ,almost,3000,1.0549,21230
